Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Tales from the Borderlands,2014,$24.99,95,/,adventure,653729,10.0,9.33
Shakes and Fidget,2016,Free,86,/,adventure,652151,49.156,1.204
Grim Fandango Remastered,2015,$14.99,90,84,adventure,645049,5.024,2.24
Digimon Masters Online,2016,Free,70,/,adventure,642287,8.192,0.144
Alice: Madness Returns,,Free,87,75,adventure,635778,8.306,3.168
Pid,2012,$9.99,86,63,adventure,634397,1.162,0.174
Lucius,2012,$9.99,82,59,adventure,625520,3.33,2.084
Why So Evil 2: Dystopia,2015,$0.5,52,/,adventure,622167,4.2459999999999996,4.15
Why So Evil,2014,$0.5,56,/,adventure,621969,3.354,3.312
Amazing World,2014,Free,76,/,adventure,619208,1.3,0.156
Mabinogi,2012,Free,75,/,adventure,613684,48.276,0.288
Shank 2,2012,$9.99,84,72,adventure,611514,3.342,1.306
Resident Evil Revelations / Biohazard Revelations UE,2013,$29.99,84,77,adventure,610923,13.288,5.336
Lone Survivor: The Director's Cut,2012,$14.99,88,81,adventure,606780,1.024,0.126
The Forgotten Ones,2014,Free,57,/,adventure,597312,1.048,0.186
Firewatch,2016,$19.99,87,81,adventure,592972,4.21,4.042
Wasteland 1 - The Original Classic,2013,$5.99,83,/,adventure,590802,0.33,0.03
Back to the Future: Ep 1 - It's About Time,2010,$19.99,90,74,adventure,587646,2.2279999999999998,2.048
Game of Thrones - A Telltale Games Series,2014,$29.99,78,/,adventure,585870,11.12,9.336
Serena,2014,Free,79,/,adventure,580347,0.174,0.066
Polarity,2016,$9.99,82,/,adventure,579952,2.12,1.138
Astroneer Alpha,2016,$19.99,90,/,adventure,572654,8.18,5.342
The Vanishing of Ethan Carter,2014,$19.99,89,82,adventure,572456,4.036,2.3
X-Blades,2009,$9.99,59,54,adventure,568314,3.138,2.348
LEGO Lord of the Rings,2012,$19.99,91,80,adventure,565158,11.0,4.012
Divine Souls,2014,Free,49,/,adventure,563580,1.216,0.072
Enter the Gungeon,2016,$14.99,91,84,adventure,561212,19.168,7.168
FORCED,2013,$14.99,76,/,adventure,556873,3.3,1.354
Broken Age,2014,$24.99,84,73,adventure,553914,6.216,4.012
Tomb Raider: The Last Revelation,2012,$6.99,90,/,adventure,551941,6.2459999999999996,0.12
Puzzle Agent,,$4.99,89,70,adventure,550560,4.036,2.162
Portal 2 Sixense Perceptual Pack,2013,Free,41,/,adventure,547601,0.03,0.006
Waveform,2012,$1.99,83,81,adventure,545826,2.27,1.342
The Secret of Monkey Island: Special Edition,2009,$9.99,96,86,adventure,545234,5.096,3.126
Batman: Arkham Origins Blackgate - Deluxe Edition,2014,$19.99,45,/,adventure,544642,3.348,1.264
Magicka 2,2015,$14.99,73,69,adventure,543064,5.12,3.138
Tomb Raider: Chronicles,2012,$6.99,76,/,adventure,541683,2.246,0.042
Octodad: Dadliest Catch,2014,$14.99,92,69,adventure,540500,5.24,2.252
Amnesia: A Machine for Pigs,2013,$19.99,64,72,adventure,537738,3.294,2.2640000000000002
Overcast - Walden and the Werewolf,2014,$0.49,60,/,adventure,533398,3.084,3.102
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,2013,$29.99,91,80,adventure,531031,17.03,9.18
PROTOTYPE 2,2012,$39.99,66,76,adventure,528072,15.0,9.174
Stealth Inc 2,2015,$14.99,77,/,adventure,528072,3.0,2.144
Hurtworld,2015,$24.99,80,/,adventure,522549,51.354,12.138
Miscreated,2014,$19.99,70,/,adventure,519393,16.15,4.156
Slime Rancher,2016,$19.99,95,/,adventure,518012,10.354,6.162
Dead Rising 2,2010,$19.99,74,78,adventure,516631,8.3,3.222
Sam & Max 301: The Penal Zone,,Free,95,/,adventure,516434,2.2640000000000002,1.102
Rocketbirds: Hardboiled Chicken,2012,$9.99,79,74,adventure,509727,1.174,0.216
Reversion - The Escape,2014,$0.99,77,/,adventure,505979,1.096,0.324
Reign Of Kings,2015,$4.99,61,/,adventure,504204,37.114,11.222
Savage Lands,2015,$14.99,68,/,adventure,497694,7.048,1.252
Scrap Mechanic,2016,$19.99,83,/,adventure,497299,22.114,8.318
I am Bread,2015,$12.99,79,60,adventure,496708,2.246,1.024
McPixel,2012,$4.99,83,76,adventure,496116,2.222,1.186
Costume Quest,2011,$9.99,92,/,adventure,493946,5.27,2.21
Revolution Ace,2014,$1.99,74,/,adventure,492368,2.288,2.156
Deus Ex: The Fall,2014,$9.99,31,45,adventure,491973,3.33,1.198
Sleeping Dogs: Definitive Edition,2014,$29.99,88,/,adventure,490395,12.204,5.294
Never Alone (Kisima Ingitchuna),2014,$14.99,83,/,adventure,483096,2.336,1.354
Penumbra: Overture,2009,$9.99,93,73,adventure,478362,3.042,1.174
Morphopolis,2014,$1.99,84,/,adventure,478362,3.114,2.216
DiggerOnline,2015,$9.99,45,/,adventure,477179,2.162,0.20400000000000001
Prototype,2009,$19.99,81,79,adventure,473825,11.246,4.336
Endless Sky,2015,Free,89,/,adventure,472839,6.036,0.096
SteamWorld Dig,2013,$9.99,93,76,adventure,472050,4.15,2.21
Valiant Hearts: The Great War / Soldats Inconnus : Mmoires de la Grande Guerre,2014,$14.99,95,/,adventure,471458,6.15,4.12
Nosferatu: The Wrath of Malachi,2014,$9.99,85,70,adventure,468104,2.024,1.03
Back to Dinosaur Island,2015,Free,55,/,adventure,467513,0.078,0.024
Brilliant Bob,2015,$0.79,55,/,adventure,466329,4.234,4.18
Age of Conan: Unchained - EU version,2013,Free,71,/,adventure,464159,16.114,1.33
LEGO Worlds,2015,$14.99,80,/,adventure,460608,10.15,3.024
Puzzle Pirates,2011,Free,81,/,adventure,459622,22.174,0.354
Lego Star Wars Saga,2009,$19.99,92,77,adventure,456071,12.024,2.288
Lost Planet: Extreme Condition,2007,$14.99,74,66,adventure,452323,4.234,1.1139999999999999
