Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Jagged Alliance: Crossfire,2012,$14.99,60,63,simulation,117766,45.288,2.252
GT Legends,2012,$7.99,90,84,simulation,117371,2.03,0.006
AltspaceVR,2016,Free,87,/,simulation,116780,1.318,0.12
Winning Putt,2016,Free,67,/,simulation,115399,7.096,0.216
Sparkle 3 Genesis,2015,$0.49,65,/,simulation,115004,4.174,4.138
Spaceport Hope,2016,$1.99,82,/,simulation,113229,3.216,3.15
Sengoku,2011,$9.99,67,70,simulation,113032,5.078,1.204
Invasion: Brain Craving,2016,$0.99,45,/,simulation,112834,4.006,3.18
Plantera,2016,$2.99,88,/,simulation,112440,12.132,3.06
OMSI 2,2013,$34.99,76,/,simulation,111848,93.18,22.282
Oh...Sir! The Insult Simulator,2016,$1.49,95,66,simulation,111059,2.204,1.24
Skyward Collapse,2013,$0.99,42,64,simulation,111059,2.084,1.108
Squirbs,2016,$4.99,66,/,simulation,111059,3.288,3.066
Puddle,2012,$7.99,74,/,simulation,110664,2.168,1.012
Iron Sky Invasion,2012,$19.99,56,/,simulation,110270,2.156,0.288
Overcooked,2016,$16.99,93,81,simulation,109875,6.072,3.138
Majesty: Gold Edition,2009,$9.99,94,/,simulation,109875,13.342,0.192
Cities XXL,2015,$14.99,26,47,simulation,109481,16.318,4.198
Dream Pinball 3D,2012,$6.99,28,61,simulation,109284,0.264,0.072
FortressCraft Evolved,2015,$12.99,76,/,simulation,109086,24.234,2.006
The Solus Project,2016,$19.99,81,68,simulation,108495,3.234,1.06
Majesty 2,2009,$9.99,74,72,simulation,107508,18.324,7.324
Agricultural Simulator: Historical Farming,2013,$9.99,22,/,simulation,107114,1.09,0.072
Skeet: VR Target Shooting,2016,Free,82,/,simulation,106325,0.18,0.072
State of Anarchy,2016,$1.99,87,/,simulation,106127,3.15,3.156
Lucid9,2016,Free,93,/,simulation,103366,3.066,0.108
