Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Naval Action,2016,$39.99,74,/,MMO,93108,97.162,15.012
Choice Chamber,2015,$9.99,87,/,MMO,92319,2.294,0.336
RIP - Early Access,2014,$7.99,59,/,MMO,91333,2.276,1.204
Gods and Idols,2016,Free,69,/,MMO,91333,2.2640000000000002,0.066
Tree of Life: Beginning of a Journey,2015,$19.99,78,/,MMO,88571,42.216,13.096
Sirius Online,2015,Free,67,/,MMO,85612,3.12,2.18
Astro Lords,2015,Free,68,/,MMO,84823,0.33,0.054
Khan: Absolute Power,2016,Free,48,/,MMO,84231,47.138,0.078
Imperia Online,2016,Free,36,/,MMO,84034,4.156,0.054
Nebula Online,2016,$3.34,38,/,MMO,83837,4.348,5.144
The Isle,2015,$19.99,65,/,MMO,83442,51.216,8.264
Landmark,2016,$9.99,34,/,MMO,80089,15.264,5.168
Atom Fishing II,2016,Free,73,/,MMO,78313,6.006,0.144
Badland Bandits,2015,Free,49,/,MMO,77919,1.06,0.084
Full Tilt Poker,2016,Free,39,/,MMO,77919,0.294,0.066
Affected Zone Tactics,2015,Free,62,/,MMO,77722,8.108,0.258
Big Bang Empire,2016,Free,51,/,MMO,76341,17.306,0.174
Galactic Junk League,2017,Free,75,/,MMO,75157,2.21,0.336
Tower Unite,2016,$14.99,84,/,MMO,73184,15.324,5.258
Destiny of Ancient Kingdoms,2016,Free,55,/,MMO,69436,2.066,0.078
Atulos Online,2016,Free,67,/,MMO,69436,2.006,0.084
Age of Magic CCG,2016,Free,62,/,MMO,68450,27.24,0.264
Out of Reach,2015,$14.99,66,/,MMO,68253,12.258,3.168
Garlock Online,2016,Free,21,/,MMO,63321,0.066,0.03
Zezenia Online,2016,Free,72,/,MMO,61546,3.336,0.078
Shattered Skies,2016,$19.99,44,56,MMO,59376,30.252,6.348
INTERSHELTER,2016,$3.99,73,/,MMO,57206,4.114,2.33
Operation: New Earth,2016,Free,47,/,MMO,55628,7.012,0.06
Gloria Victis,2016,$19.99,65,/,MMO,52077,13.252,3.294
Otherland,2016,Free,41,/,MMO,49316,2.042,1.03
Racecar.io,2016,Free,54,/,MMO,47146,0.12,0.048
Thanatos,2016,Free,38,/,MMO,44779,7.066,0.156
Blitzkrieg 3,2015,$29.99,51,/,MMO,42214,18.21,6.234
The Infinite Black,2016,Free,68,/,MMO,42214,2.18,0.096
The Repopulation,2014,Free,63,/,MMO,41425,21.09,4.006
TrackmaniaÂ® Turbo,2016,$39.99,61,/,MMO,38663,12.228,6.18
Astroflux,2016,Free,66,/,MMO,38269,9.12,0.11399999999999999
Shroud of the Avatar: Forsaken Virtues,2014,$39.99,63,/,MMO,36691,29.324,3.33
Dark Eden,2016,Free,49,/,MMO,35902,4.204,0.096
Meadow,2016,$2.99,87,/,MMO,35507,4.042,1.168
Orake 2D MMORPG,2016,Free,74,/,MMO,31957,0.21,0.018
Take Thy Throne,2016,$1.99,64,/,MMO,29195,2.048,2.078
Dungeons Of Kragmor,2016,$0.99,39,/,MMO,27814,0.252,0.03
emoj.io,2016,Free,56,/,MMO,27617,2.186,0.072
Project Genom,2016,$13.99,72,/,MMO,27420,8.24,3.018
Dofus,2016,Free,71,72,MMO,26039,5.096,1.03
"Once Bitten, Twice Dead!",2015,$4.99,17,/,MMO,24855,3.288,4.012
Storm United,2015,$19.99,62,/,MMO,24658,1.108,0.168
NEStalgia,2014,$9.99,77,/,MMO,24658,28.354,2.348
Linkrealms,2016,Free,69,/,MMO,23869,2.204,0.156
Woodle Tree 2: Worlds,2016,$3.99,67,/,MMO,23080,3.126,4.036
Perpetuum,2014,$9.99,71,/,MMO,21699,79.306,4.048
Selfie: Sisters of the Amniotic Lens,2015,$4.99,77,/,MMO,21304,3.042,3.102
Ascent - The Space Game,2016,$19.99,74,/,MMO,20515,28.324,19.114
Entropy,2013,$19.99,34,/,MMO,19332,9.222,2.06
Cloud Chamber,2014,$19.99,64,74,MMO,18937,3.108,2.006
The Black Watchmen,2015,$14.99,90,/,MMO,17951,6.348,3.2279999999999998
Crossout,2016,$29.99,75,/,MMO,17754,29.252,14.186
iRacing,2015,$9.99,84,79,MMO,17556,48.306,0.09
The Castle Doctrine,2014,$15.99,48,58,MMO,16767,41.318,1.096
ｈａｃｋｍｕｄ,2016,$19.99,76,/,MMO,16570,9.09,4.204
Heliborne,2016,$9.99,78,/,MMO,16570,2.3,1.288
Guardians of Ember,2016,$19.99,59,/,MMO,16176,17.336,9.006
FINAL FANTASY XI: Ultimate Collection Seekers Edition NA,2013,$39.99,83,/,MMO,16176,43.348,0.048
Kings and Heroes,2016,$19.99,69,/,MMO,15781,21.222,3.318
Screeps,2016,$14.99,91,/,MMO,14203,31.162,9.15
Pixel Survival - Craft Game,2016,$0.99,38,/,MMO,13217,1.0,0.15
Colonies Online,2014,$14.99,40,/,MMO,12625,5.228,2.15
Hide & Hold Out - H2o,2016,$17.99,60,/,MMO,12625,16.3,7.006
KWAAN,2016,$9.99,70,/,MMO,12625,1.216,0.336
Madness Cubed,2016,$5.99,63,/,MMO,12625,6.18,3.156
Oort Online,2014,$34.99,66,/,MMO,12033,3.072,1.126
Techwars Online,2016,$9.99,70,/,MMO,11836,1.228,1.024
Boundel,2016,$1.99,68,/,MMO,11441,4.132,3.096
Last Man Standing,2016,$14.99,48,/,MMO,9469,2.252,2.102
Hounds: The Last Hope,2016,Free,66,/,MMO,7891,16.018,2.312
Minimon,2015,$9.99,56,/,MMO,6904,3.258,4.192
LOKA - League of keepers Allysium,2016,$19.99,79,/,MMO,6904,1.156,0.144
Manyland,2015,$11.99,82,/,MMO,5721,8.336,9.012
Pixel Day - Gun Z,2016,$0.49,23,/,MMO,5721,0.096,0.108
Islet Online,2016,$24.99,81,/,MMO,5326,50.342,6.192
Voice Of Pripyat,2014,$6.99,46,/,MMO,4932,2.168,2.354
Wild Terra Online,2016,$14.99,64,/,MMO,4537,21.108,10.15
Dig 4 Destruction,2016,$11.99,95,/,MMO,4340,8.258,4.342
Gates of Horizon,2014,$9.99,66,/,MMO,4143,26.126,42.234
Lif,2016,$8.99,57,/,MMO,3353,2.078,2.096
Anyland,2016,$11.99,97,/,MMO,3156,8.288,2.24
Dark Forester,2015,$8.99,64,/,MMO,3156,2.204,0.09
Asteroids: Outpost,2015,$29.99,33,/,MMO,2564,1.078,1.102
Epic Space: Online,2014,$14.99,25,/,MMO,2367,4.186,5.216
Xsyon - Prelude,2014,$29.99,73,/,MMO,2170,16.204,27.144
Wander,2015,$8.99,31,/,MMO,1775,7.144,10.006
Rogalia,2016,$11.99,83,/,MMO,1512,20.102,26.102
Heroes Evolved,2017,Free,61,/,MMO,1182,1.228,1.228
Divergence: Online,2016,$19.99,67,/,MMO,789,1.234,2.012
