Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Giana Sisters: Twisted Dreams,2012,$14.99,82,77,indie,636961,3.234,1.228
Pid,2012,$9.99,86,63,indie,634397,1.162,0.174
Mount Your Friends,2014,$4.99,95,/,indie,628282,2.294,1.246
Cogs,2009,$9.99,89,73,indie,627098,1.288,0.15
E.Y.E: Divine Cybermancy,2011,$9.99,82,/,indie,627098,7.066,2.15
Lucius,2012,$9.99,82,59,indie,625520,3.33,2.084
Tiny and Big: Grandpa's Leftovers,2012,$9.99,92,75,indie,624731,2.15,1.168
Pressure,2013,$2.39,76,64,indie,623153,3.06,2.096
Why So Evil 2: Dystopia,2015,$0.5,52,/,indie,622167,4.2459999999999996,4.15
Why So Evil,2014,$0.5,56,/,indie,621969,3.354,3.312
Crayon Physics Deluxe,2009,$19.99,86,79,indie,621180,1.102,0.156
Shank 2,2012,$9.99,84,72,indie,611514,3.342,1.306
Lone Survivor: The Director's Cut,2012,$14.99,88,81,indie,606780,1.024,0.126
Mortal Online,2015,Free,48,/,indie,606780,8.006,0.186
Really Big Sky,2012,$4.99,76,/,indie,604018,2.042,1.09
ShellShock Live,2015,$6.99,88,/,indie,602638,23.33,9.012
One Finger Death Punch,2014,$4.99,98,/,indie,597312,6.204,3.048
The Forgotten Ones,2014,Free,57,/,indie,597312,1.048,0.186
Yet Another Zombie Defense,2014,$1.99,87,/,indie,595931,2.108,1.036
Breath of Death VII,2011,$2.99,85,/,indie,593169,2.084,0.198
Firewatch,2016,$19.99,87,81,indie,592972,4.21,4.042
Wasteland 1 - The Original Classic,2013,$5.99,83,/,indie,590802,0.33,0.03
Sunrider: Mask of Arcadius,2014,Free,93,/,indie,589618,5.24,1.198
Viridi,2015,Free,89,46,indie,588632,5.102,0.066
Democracy 3,2013,$24.99,77,70,indie,583109,7.258,3.108
Transmissions: Element 120,2016,Free,94,/,indie,580939,1.078,0.276
Serena,2014,Free,79,/,indie,580347,0.174,0.066
Dungeons of Dredmor,2011,$4.99,95,79,indie,580150,16.204,3.198
Polarity,2016,$9.99,82,/,indie,579952,2.12,1.138
Defense Grid: The Awakening,2008,$9.99,97,81,indie,577783,25.33,4.354
The Culling,2016,$24.99,67,/,indie,573245,14.264,4.2459999999999996
Euro Truck Simulator,2013,$4.99,80,/,indie,573048,3.066,0.27
Beat Hazard,2010,$9.99,95,70,indie,572654,6.354,2.342
Astroneer Alpha,2016,$19.99,90,/,indie,572654,8.18,5.342
The Vanishing of Ethan Carter,2014,$19.99,89,82,indie,572456,4.036,2.3
Space Hack,2014,$4.99,43,63,indie,569892,1.048,0.024
Gratuitous Space Battles,2009,$14.99,76,72,indie,566736,6.03,2.03
Divine Souls,2014,Free,49,/,indie,563580,1.216,0.072
Enter the Gungeon,2016,$14.99,91,84,indie,561212,19.168,7.168
Bad Rats,2009,$0.99,76,/,indie,559240,4.168,1.24
Osmos,2009,$9.99,89,80,indie,558056,2.09,0.276
Verdun,2015,$24.99,86,70,indie,557662,14.078,4.192
FORCED,2013,$14.99,76,/,indie,556873,3.3,1.354
Broken Age,2014,$24.99,84,73,indie,553914,6.216,4.012
NightSky,2011,$9.99,90,78,indie,553125,1.09,0.12
Eets Munchies,2014,$6.99,80,/,indie,549179,1.228,0.258
And Yet It Moves,2009,$9.99,69,75,indie,546615,1.0,0.138
Waveform,2012,$1.99,83,81,indie,545826,2.27,1.342
Time of Dragons,2016,Free,69,/,indie,542275,1.042,0.084
American Truck Simulator,2016,$19.99,92,76,indie,540500,46.09,18.258
Octodad: Dadliest Catch,2014,$14.99,92,69,indie,540500,5.24,2.252
Kingdom Wars,2013,Free,67,/,indie,540303,9.138,1.006
Geometry Dash,2014,$3.99,96,/,indie,539119,54.294,5.126
Amnesia: A Machine for Pigs,2013,$19.99,64,72,indie,537738,3.294,2.2640000000000002
The Culling Of The Cows,2014,$12.99,75,/,indie,536949,2.2279999999999998,1.24
Eternal Senia,2015,Free,97,/,indie,536160,3.144,0.23399999999999999
Overcast - Walden and the Werewolf,2014,$0.49,60,/,indie,533398,3.084,3.102
Shank,2010,$9.99,90,67,indie,531820,2.096,0.34199999999999997
Dustforce,2012,$9.99,89,79,indie,530242,3.354,0.306
Capsized,2011,$9.99,78,80,indie,528861,1.0,0.10200000000000001
Stealth Inc 2,2015,$14.99,77,/,indie,528072,3.0,2.144
RimWorld,2016,$29.99,96,/,indie,526297,54.114,26.06
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2013,$14.99,93,85,indie,525113,3.252,1.288
Hard Reset,2012,$14.99,85,73,indie,522154,4.06,1.024
Miscreated,2014,$19.99,70,/,indie,519393,16.15,4.156
Slime Rancher,2016,$19.99,95,/,indie,518012,10.354,6.162
Hammerfight,2009,$4.99,65,/,indie,514067,1.264,0.072
HuniePop,2015,$9.99,96,/,indie,512883,15.306,11.174
Lethal League,2014,$13.99,96,82,indie,512291,5.282,2.222
Break Into Zatwor,2015,$0.5,51,/,indie,512094,3.318,3.174
Absconding Zatwor,2015,$0.49,59,/,indie,512094,3.348,3.132
ACE - Arena: Cyber Evolution,2014,Free,68,/,indie,511897,0.282,0.10200000000000001
Particula,2015,$0.49,65,/,indie,511108,4.258,4.006
Blackguards,2014,$39.99,63,68,indie,510910,14.138,3.12
Rocketbirds: Hardboiled Chicken,2012,$9.99,79,74,indie,509727,1.174,0.216
Saira,,Free,80,/,indie,509332,1.0,0.084
