Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Breath of Death VII,2011,$0.95,85,/,RPG,614004,2.018,0.186
FINAL FANTASY VIII,2013,$11.99,90,/,RPG,606558,27.3,6.288
Prime World,2014,Free,62,65,RPG,596899,37.294,1.15
Lone Survivor: The Director's Cut,2012,$14.99,88,81,RPG,594081,1.03,0.12
Mortal Online,2015,Free,48,/,RPG,594081,6.354,0.186
Mabinogi,2012,Free,75,/,RPG,592069,54.24,0.306
Wasteland 1 - The Original Classic,2013,$5.99,83,/,RPG,586836,0.282,0.03
Dungeons of Dredmor,2011,$4.99,95,79,RPG,581000,16.066,3.192
Deus Ex: Mankind Divided,2016,$59.99,64,83,RPG,580799,25.354,19.036
Polarity,2016,$0.99,82,/,RPG,573956,2.048,1.102
Echo of Soul,2015,Free,61,/,RPG,572145,13.042,1.144
Age of Wonders III,2014,$29.99,81,80,RPG,571944,40.336,9.21
Sunrider: Mask of Arcadius,2014,Free,93,/,RPG,571541,5.264,1.1320000000000001
Navy Field 2 : Conqueror of the Ocean,2015,Free,46,/,RPG,567718,3.192,0.132
Divine Souls,2014,Free,49,/,RPG,567516,2.114,0.072
X-Blades,2009,$9.99,59,54,RPG,561278,3.12,2.348
FINAL FANTASY XIV: A Realm Reborn,2014,$19.99,87,83,RPG,559869,200.216,35.072
FORCED,2013,$14.99,76,/,RPG,558058,3.318,2.018
Gorky 17,2013,$4.99,81,/,RPG,553228,1.186,0.024
Waveform,2012,$1.99,83,81,RPG,548197,2.348,2.018
Eternal Senia,2015,Free,97,/,RPG,534109,2.108,0.24
Kingdom Wars,2013,Free,67,/,RPG,533707,9.306,1.0
Game of Thrones,2012,$14.99,71,58,RPG,520626,7.048,1.072
Miscreated,2014,$19.99,70,/,RPG,519418,16.048,4.144
Reign Of Kings,2015,$19.99,61,/,RPG,507142,35.138,11.006
Costume Quest,2011,$9.99,92,/,RPG,505935,5.138,2.18
HuniePop,2015,$9.99,96,/,RPG,504325,15.12,11.024
ROSE Online,2012,Free,69,/,RPG,500099,34.012,0.24599999999999997
Blackguards,2014,$39.99,63,68,RPG,498489,14.33,3.21
Deus Ex: The Fall,2014,$9.99,31,45,RPG,497080,4.03,1.18
Serious Sam: The Random Encounter,2011,$4.99,53,64,RPG,491043,0.21,0.072
Lords Of The Fallen,2014,$19.99,60,73,RPG,489835,10.312,4.21
Divine Divinity,2012,$5.99,89,81,RPG,489433,8.12,0.24
Ragnarok,2013,Free,79,79,RPG,488829,20.234,0.15
Town of Salem,2014,$4.99,89,/,RPG,487823,27.09,9.24
Heroes of Might & Magic III - HD Edition,2015,$14.99,64,65,RPG,486816,30.096,7.21
Recettear: An Item Shop's Tale,2010,$19.99,97,82,RPG,483798,13.168,6.132
Fable Anniversary,2014,$34.99,75,/,RPG,483798,9.234,3.312
Revolution Ace,2014,$0.49,74,/,RPG,483194,2.324,2.168
Alpha Protocol,2010,$14.99,81,72,RPG,480175,8.318,2.15
Morphopolis,2014,$1.99,84,/,RPG,479773,3.126,2.222
EverQuest Free-to-Play,2012,Free,72,/,RPG,479572,53.33,1.15
Skyborn,2014,$14.99,87,/,RPG,474742,4.084,3.3
Endless Sky,2015,Free,89,/,RPG,472327,6.024,0.10200000000000001
The Banner Saga: Factions,2013,Free,75,67,RPG,468503,2.24,0.186
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,2012,$9.99,88,75,RPG,466692,2.168,0.276
Dragomon Hunter,2015,Free,57,/,RPG,464679,4.294,0.252
War of the Immortals,2012,Free,66,/,RPG,464076,19.294,1.036
Champions of Regnum,2013,Free,60,/,RPG,463069,15.096,0.222
Pox Nora,2014,Free,73,/,RPG,458843,5.144,0.096
Age of Conan: Unchained - EU version,2013,Free,71,/,RPG,456831,14.06,2.03
Unepic,2014,$12.99,94,68,RPG,455221,12.348,4.354
Punch Club,2016,$9.99,81,73,RPG,446567,9.024,5.054
Gothic 3,2009,$9.99,80,63,RPG,444756,16.144,1.252
Forsaken World,2011,Free,71,69,RPG,440530,32.066,1.18
Evoland,2013,$9.99,83,61,RPG,438115,3.108,2.18
DETOUR,2011,$0.49,62,/,RPG,430266,2.258,2.066
The Hat Man: Shadow Ward,2016,$1.99,70,/,RPG,427046,2.15,1.222
Knights of Pen and Paper +1,2013,$9.99,85,/,RPG,426442,6.168,3.0
The Howler,2016,$0.49,80,/,RPG,425034,3.066,2.312
Baldur's Gate II: Enhanced Edition,2013,$19.99,83,78,RPG,422216,36.03,4.066
The Secret World,2012,$29.99,85,74,RPG,420606,44.06,11.126
Dungeon Siege 2,2005,$6.99,81,80,RPG,419197,12.216,0.252
GRAV,2015,$19.99,66,/,RPG,419197,10.3,2.066
Sunless Sea,2015,$18.99,83,81,RPG,416984,11.216,3.138
King's Bounty: The Legend,2009,$6.99,92,79,RPG,414368,20.324,3.216
Running Shadow,2015,Free,67,/,RPG,414368,1.336,0.10200000000000001
Magicite,2014,$9.99,88,/,RPG,414166,13.042,6.228
Destination Sol,2015,Free,79,/,RPG,412154,0.34199999999999997,0.078
Fiesta Online NA,2014,Free,54,/,RPG,407324,9.222,0.294
Dungeon Siege,2011,$6.99,77,86,RPG,405915,6.21,0.252
Beyond Divinity,2012,$5.99,61,73,RPG,402695,1.342,0.036
Victor Vran,2015,$19.99,90,75,RPG,401890,9.27,4.114
Devilian,2015,Free,59,63,RPG,401890,14.276,2.258
Saviors,2016,$0.49,85,/,RPG,400481,3.252,3.114
The Incredible Adventures of Van Helsing II,2014,$14.99,67,77,RPG,400280,8.24,2.246
Always Sometimes Monsters,2014,$9.99,77,73,RPG,396859,4.354,2.018
One Way Heroics,2014,$3.49,94,/,RPG,395048,6.15,1.24
Caster,2009,$0.49,79,/,RPG,395048,2.2640000000000002,1.108
ArcaniA,2010,$19.99,48,63,RPG,392029,8.24,1.228
Camera Obscura,2015,$0.5,73,/,RPG,392029,3.078,2.234
Life is Feudal: Your Own,2015,$39.99,67,63,RPG,391224,63.138,9.3
RAW - Realms of Ancient War,2012,$14.99,47,/,RPG,390822,2.078,0.222
CONSORTIUM,2014,$9.99,74,/,RPG,390218,3.222,3.06
Talisman: Digital Edition,2014,$7.99,75,51,RPG,388205,16.06,4.036
Hand Of Fate,2015,$19.99,92,78,RPG,387803,6.126,3.138
Gothic II: Gold Edition,,$9.99,86,79,RPG,386797,11.186,0.15
Marvel Puzzle Quest,2013,Free,69,/,RPG,380759,87.114,1.306
How to Survive 2,2016,$14.99,73,69,RPG,380156,9.24,4.066
King's Bounty: Armored Princess,2009,$9.99,91,82,RPG,378143,18.342,3.012
Bionic Dues,2013,$9.99,81,71,RPG,377741,4.108,3.096
Nuclear Throne,2015,$11.99,97,88,RPG,376131,24.294,5.204
FINAL FANTASY XIII-2,2014,$19.99,67,/,RPG,372709,17.288,4.168
Legend of Grimrock 2,2014,$23.99,92,/,RPG,365867,17.096,5.03
Confrontation,2012,$9.99,24,51,RPG,365062,1.3,0.12
Rise of the Argonauts,2009,$9.99,68,59,RPG,357213,2.324,0.174
Legend of Mysteria,2015,$0.49,75,/,RPG,355000,4.0,3.18
Craft The World,2014,$18.99,90,/,RPG,354396,35.066,13.174
Mercenary Kings,2014,$19.99,73,76,RPG,352786,7.048,2.288
Insanity Clicker,2016,Free,65,/,RPG,352182,30.156,1.246
Eldevin,2014,Free,77,/,RPG,349767,6.0,0.174
Hyperdimension Neptunia Re;Birth1,2015,$29.99,95,72,RPG,348761,18.078,5.054
Shadowrun: Hong Kong,2015,$19.99,87,81,RPG,347352,23.234,13.15
City of Steam: Arkadia,2014,Free,60,/,RPG,347151,7.126,0.18
Portal Knights,2016,$14.99,85,/,RPG,346346,14.09,7.18
Mountain,2014,$0.99,87,/,RPG,345340,7.114,0.27
Labyronia RPG,2015,$0.49,73,/,RPG,344132,3.312,3.09
AdventureQuest 3D,2016,Free,61,/,RPG,342522,3.096,0.144
Karos,2014,Free,52,/,RPG,340510,4.234,0.006
FINAL FANTASY X/X-2 HD Remaster,2016,$29.99,92,/,RPG,339504,27.072,11.132
Long Live The Queen,2013,$9.99,95,67,RPG,339302,5.258,3.03
Swordsman,2016,Free,52,/,RPG,334875,4.21,0.174
Dungeon Fighter Online,2016,Free,83,78,RPG,331253,18.228,2.09
Risen 3 - Titan Lords,2014,$14.99,71,65,RPG,331051,24.258,5.144
gravilon,2015,$1.99,62,/,RPG,328234,3.162,3.018
StarForge,2014,$9.99,14,/,RPG,327831,4.108,1.138
Rebel Galaxy,2015,$19.99,87,/,RPG,325618,15.306,5.024
Gems of War,2014,Free,75,/,RPG,325416,58.318,4.054
Gothic,2001,$19.99,85,81,RPG,322196,5.06,0.096
the static speaks my name,2015,Free,81,/,RPG,319983,0.15,0.084
Atlantica,2012,Free,73,/,RPG,319781,84.012,1.03
RPG MO,2015,Free,77,/,RPG,319580,7.054,0.072
Septerra Core,2013,$4.99,72,72,RPG,318373,3.252,2.258
Memories of a Vagabond,2014,$4.99,81,/,RPG,318373,2.282,2.006
Labyronia RPG 2,2015,$0.49,77,/,RPG,316561,4.0,3.174
SpellForce 2 - Faith in Destiny,2012,$14.99,63,55,RPG,314348,10.108,1.072
