Game,Release year,Price,Userscore,Metascore,Genre,Owners,Average playtime,Median playtime
Worlds of Magic,2015,$24.99,49,52,strategy,17754,17.288,6.132
Sproggiwood,2014,$14.99,86,/,strategy,17754,4.042,3.03
Interloper,2015,$11.99,88,77,strategy,17556,2.0,1.15
On My Own,2016,$7.99,70,/,strategy,17556,2.006,1.186
Tyto Ecology,2016,$6.99,77,/,strategy,17556,5.354,2.066
LowcoBall,2015,$0.99,62,/,strategy,17556,2.258,2.318
Ground Control II,2015,$4.99,85,80,strategy,17359,8.216,2.234
Space Run Galaxy,2016,$19.99,72,75,strategy,17359,15.012,7.192
Particle Fleet: Emergence,2016,$14.99,92,/,strategy,17359,13.318,8.09
Lords of Magic: Special Edition,2015,$4.99,92,/,strategy,17359,111.114,4.216
Catch Me,2016,$5.99,86,/,strategy,17359,3.168,1.21
Cuban Missile Crisis,2015,$4.99,75,/,strategy,17162,4.216,2.222
Maze Lord,2016,$4.99,78,/,strategy,17162,4.222,5.024
Ashes of the Singularity: Escalation,2016,$39.99,82,81,strategy,16965,6.066,2.21
Starscape,2008,$9.99,77,/,strategy,16965,4.09,0.192
NOBUNAGA'S AMBITION: Souzou (Traditional Chinese version),,$24.99,84,/,strategy,16965,108.276,39.324
1849,2014,$14.99,70,/,strategy,16965,11.294,3.306
Atari Vault,2016,$19.99,74,/,strategy,16965,2.108,0.312
Survivors,2016,$3.99,66,/,strategy,16965,2.306,2.018
Evil Defenders,2015,$9.99,77,/,strategy,16965,8.216,2.246
CRYPTARK,2015,$14.99,91,/,strategy,16965,4.312,1.246
The Castle Doctrine,2014,$15.99,48,58,strategy,16767,41.318,1.096
Hero Generations,2015,$5.99,58,/,strategy,16767,2.294,1.306
Braveland Wizard,2014,$6.99,73,/,strategy,16767,5.114,4.078
KeeperRL,2015,$14.99,88,/,strategy,16767,10.0,5.288
Command: Modern Air / Naval Operations WOTY,2014,$79.99,86,/,strategy,16767,20.246,5.06
Sword of the Stars,2010,$9.99,92,75,strategy,16570,49.012,14.114
Dungeon Rushers,2016,$14.99,77,/,strategy,16570,5.144,2.192
Kick Ass Commandos,2016,$9.99,96,/,strategy,16570,3.174,2.294
Crookz - The Big Heist,2015,$19.99,86,74,strategy,16373,8.294,2.24
Abyss Raiders: Uncharted,2015,$4.99,38,/,strategy,16373,3.096,3.126
GamersGoMakers,2014,$9.99,79,/,strategy,16373,14.33,10.258
Vulture for NetHack,2015,$2.99,76,/,strategy,16176,2.336,0.264
Templar Battleforce,2015,$9.99,96,/,strategy,16176,9.12,3.042
Democracy 3 Africa,2016,$14.99,71,/,strategy,16176,5.096,4.15
The Fall of the Dungeon Guardians,2015,$19.99,81,/,strategy,16176,14.294,4.15
Stalingrad,2015,$4.99,89,/,strategy,16176,8.3,1.006
Deadnaut,2014,$9.99,69,/,strategy,16176,4.234,2.258
Chris Sawyer's Locomotion,2015,$5.99,80,/,strategy,15978,16.12,1.27
Bounty Train,2015,$24.99,78,/,strategy,15978,9.108,3.162
O.R.B.,2014,$4.99,77,/,strategy,15978,1.276,0.252
RECYCLE,2014,$9.99,37,/,strategy,15978,8.246,1.342
Heroes of Hellas 3: Athens,2015,$2.99,94,/,strategy,15978,7.054,4.072
TASTEE: Lethal Tactics,2016,$14.99,85,/,strategy,15781,5.0,2.282
Hearthlands,2014,$19.99,91,/,strategy,15781,11.084,5.3
RESCUE 2,2015,$19.99,58,/,strategy,15584,6.156,4.114
Shadow Ninja: Apocalypse,2015,$1.99,50,/,strategy,15584,3.18,4.066
Hell Girls,2017,$1.99,96,/,strategy,15584,2.192,2.048
Dominions 3,2013,$19.99,83,82,strategy,15386,8.21,1.198
MoonBase Commander,2014,$5.99,88,77,strategy,15386,2.168,1.144
Buzz Aldrin's Space Program Manager,2014,$29.99,79,62,strategy,15386,17.3,8.24
Trillion,2016,$29.99,81,/,strategy,15386,6.174,2.012
EPSILON,2015,$7.99,81,/,strategy,15386,5.156,5.3
Civil War II,2014,$39.99,73,/,strategy,15386,51.258,3.294
Celestial Command,2014,$10.99,79,/,strategy,15386,4.21,1.204
Nightside,2015,$6.99,60,/,strategy,15189,2.2640000000000002,2.288
Highlands,2015,$9.99,83,/,strategy,15189,6.33,2.342
Pro Rugby Manager 2015,2014,$9.99,21,/,strategy,15189,26.354,10.3
Elder Sign: Omens,2013,$14.99,78,/,strategy,14992,6.306,3.09
Railroad Pioneer,2014,$4.99,58,50,strategy,14795,7.312,2.108
Sunrider: Liberation Day,2016,$24.99,85,/,strategy,14795,13.132,10.096
Winged Sakura: Mindy's Arc,2014,$14.99,88,/,strategy,14795,5.12,2.24
rymdkapsel,2014,$7.99,81,77,strategy,14597,4.072,3.024
Judgment: Apocalypse Survival Simulation,2016,$14.99,85,/,strategy,14597,9.132,4.264
The Happy Hereafter,2014,$3.99,77,/,strategy,14597,5.006,3.156
Crush Your Enemies,2016,$9.99,85,63,strategy,14203,3.12,1.21
Screeps,2016,$14.99,91,/,strategy,14203,31.162,9.15
Football Tactics,2015,$14.99,91,/,strategy,14006,20.06,11.138
Racing Manager 2014,2013,$7.99,17,/,strategy,14006,6.282,3.21
Another Brick in the Mall,2016,$12.99,85,/,strategy,14006,6.282,5.096
Okhlos,2016,$12.99,87,69,strategy,13808,2.054,1.1139999999999999
Vietnam 65,2015,$9.99,84,81,strategy,13611,14.282,2.054
Last Hope - Tower Defense,2016,$8.99,84,/,strategy,13611,15.318,4.288
Imagine Earth,2014,$19.99,83,/,strategy,13611,6.21,2.282
Mushroom Wars,2016,$9.99,82,80,strategy,13414,3.162,2.27
Life in Bunker,2016,$15.99,60,/,strategy,13414,7.216,4.108
Villagers,2016,$19.99,43,/,strategy,13414,12.228,6.21
Balrum,2016,$14.99,75,/,strategy,13414,11.222,3.216
Towers of Altrac,2015,$6.99,64,/,strategy,13414,27.078,5.048
Rogue State,2015,$12.99,74,66,strategy,13217,4.228,4.072
McDROID,2014,$9.99,78,/,strategy,13217,3.024,3.096
The Hive,2016,$19.99,73,/,strategy,13217,3.348,2.198
"Warhammer 40,000: Storm of Vengeance",2014,$2.99,40,/,strategy,13217,6.162,3.114
Battle Mages,2014,$3.99,68,/,strategy,13217,2.27,1.234
LA Cops,2015,$14.99,65,45,strategy,12822,1.066,0.21
Crunch Time!,2014,Free,51,/,strategy,12822,0.336,0.282
Shallow Space,2015,$14.99,76,/,strategy,12822,2.12,1.012
Arms Dealer,2015,$12.99,52,/,strategy,12822,4.03,1.024
Doors,2016,$4.99,61,40,strategy,12625,1.144,1.036
Battle of the Bulge,2015,$9.99,71,/,strategy,12625,5.084,2.06
Sneaky Sneaky,2014,$4.99,90,63,strategy,12428,2.3,2.186
Timelines: Assault on America,2013,$4.99,47,/,strategy,12428,3.186,0.23399999999999999
Ballad of Solar,2014,$6.99,86,/,strategy,12428,5.324,3.3
Achron,2011,$19.99,69,54,strategy,12230,2.222,1.102
Toy Soldiers: War Chest,2015,$14.99,51,60,strategy,12033,7.126,4.174
Pre-Civilization Egypt,2016,$9.99,93,/,strategy,12033,12.192,5.174
Slayaway Camp,2016,$8.99,98,/,strategy,12033,4.048,2.09
Cosmic Trip,2016,$19.99,89,/,strategy,12033,1.144,1.03
Overfall,2016,$14.99,85,71,strategy,11836,16.024,4.144
Crazy Machines 3,2016,$19.99,90,69,strategy,11836,2.246,1.294
March of the Living,2016,$14.99,79,63,strategy,11836,4.234,3.138
Evertown,2016,$2.99,67,/,strategy,11836,1.042,1.216
Epic Quest of the 4 Crystals,2015,$9.99,90,/,strategy,11836,3.312,2.318
Arcadecraft,2014,$9.99,50,/,strategy,11836,2.288,2.3
Techwars Online,2016,$9.99,70,/,strategy,11836,1.228,1.024
Dark Quest,2015,$2.39,63,/,strategy,11836,1.198,1.294
Blood Code,2015,$9.99,72,/,strategy,11836,6.024,5.072
Yomawari: Night Alone,2016,$19.99,88,/,strategy,11639,3.054,1.156
Hydraulic Empire,2015,$7.99,56,/,strategy,11639,4.018,3.144
Sneak Thief,2016,$9.99,76,/,strategy,11639,2.3,2.102
Warrior Kings: Battles,2014,$9.99,92,64,strategy,11441,5.096,2.24
Bastard Bonds,2016,$19.99,93,/,strategy,11441,9.06,4.354
Talisman: The Horus Heresy,2016,$14.99,68,/,strategy,11441,8.162,3.252
Signal Ops,2013,$9.99,62,61,strategy,11244,2.168,2.048
Chess 2: The Sequel,2014,$9.99,52,62,strategy,11047,0.324,0.174
Patterns,,Free,14,/,strategy,11047,2.318,1.102
Colonial Conquest,2015,$9.99,61,/,strategy,11047,8.15,1.21
Almightree: The Last Dreamer,2015,$4.99,72,/,strategy,10849,2.168,2.048
Synonymy,2015,$1.99,49,/,strategy,10849,2.144,2.12
Zombie City Defense 2,2016,$9.99,72,/,strategy,10849,3.318,2.204
Rulers of Nations,2014,$19.99,44,63,strategy,10652,24.354,13.162
